
Non-selected data

  cod  gap   e0   1    2    3    4    5    6    7    8    9   10  sti
 260    1    0    1    1    1    1    1    1    1    1    1    0    9 
 261    2    0    0    0    0    0    1    1    1    1    1    0    5 
 262    1    0    1    1    1    1    1    1    1    1    1    0    9 
 263    1    0    1    1    1    1    1    1    1    0    0    0    7 
 264    1    0    1    1    1    1    1    1    1    1    1    0    9 
 265    1    0    1    1    1    1    1    1    1    1    1    0    9 
 266    1    0    1    1    1    1    1    1    1    1    1    0    9 
 267    1    0    1    1    1    1    1    1    1    1    1    0    9 
 268    1    0    1    1    1    1    0    0    0    0    0    0    4 
 269    1    0    1    1    1    1    1    1    1    1    1    0    9 
 270    1    0    1    1    1    1    1    1    1    1    1    0    9 
 271    1    0    1    1    1    1    1    1    1    1    1    0    9 
 272    1    0    1    1    1    1    1    1    1    1    1    0    9 
 273    1    0    1    1    1    1    1    1    1    1    1    0    9 
 274    1    0    1    1    1    1    0    0    0    0    0    0    4 
 275    1    0    1    1    1    1    1    1    1    1    1    0    9 
 276    1    0    1    1    1    1    1    1    1    1    1    0    9 
 277    1    0    1    1    1    1    1    1    0    0    0    0    6 
 278    2    0    0    1    1    1    1    0    0    0    0    0    4 
 279    2    0    0    0    0    1    1    1    1    1    1    0    6 
 280    1    0    0    0    0    1    1    1    1    1    1    1    7 
 281    1    0    0    0    0    0    0    0    1    1    1    1    4 
 282    1    0    0    0    0    0    0    0    1    1    1    1    4 
 283    1    0    0    0    0    0    0    0    1    1    1    1    4 
 284    1    0    0    0    0    1    1    1    1    1    1    1    7 
 285    1    0    0    0    0    1    1    1    1    1    1    1    7 
 286    2    0    0    0    0    1    1    1    1    1    1    0    6 
 287    2    0    0    0    0    1    1    1    0    0    0    0    3 
 288    2    0    0    0    0    1    1    1    0    0    0    0    3 
 289    2    0    0    0    0    1    1    1    0    0    0    0    3 
 290    2    0    0    0    0    1    1    1    0    0    0    0    3 
 291    1    0    0    0    0    1    1    1    1    1    1    1    7 
 292    1    0    0    0    0    1    1    1    1    1    1    1    7 
 293    1    0    0    0    0    1    1    1    1    1    1    1    7 
 294    1    0    0    0    0    1    1    1    1    1    1    1    7 
 295    1    0    0    0    0    1    1    1    1    1    1    1    7 
 296    1    0    0    0    0    1    1    1    1    1    1    1    7 
 297    1    0    0    0    0    1    1    1    1    1    1    1    7 
 298    1    0    0    0    0    1    1    1    1    1    1    1    7 
 299    1    0    0    0    0    0    0    1    1    1    1    1    5 
 300    1    0    0    0    0    0    0    1    1    1    1    1    5 
 301    1    0    1    1    1    1    1    1    0    0    0    0    6 
 302    0    0    1    1    1    1    1    1    1    1    1    1   10 
 303    1    0    1    1    1    1    1    1    1    1    1    0    9 
 304    0    0    1    1    1    1    1    1    1    1    1    1   10 
 305    0    0    1    1    1    1    1    1    1    1    1    1   10 
 306    0    0    1    1    1    1    1    1    1    1    1    1   10 
 307    0    0    1    1    1    1    1    1    1    1    1    1   10 
 308    1    0    1    1    1    1    1    1    1    1    1    0    9 
 309    1    0    1    1    1    1    1    1    1    0    0    0    7 
 310    1    0    1    1    1    0    0    0    0    0    0    0    3 
 311    0    0    1    1    1    1    1    1    1    1    1    1   10 
 312    0    0    1    1    1    1    1    1    1    1    1    1   10 
 313    0    0    1    1    1    1    1    1    1    1    1    1   10 
 314    0    0    1    1    1    1    1    1    1    1    1    1   10 
 315    1    0    1    1    1    1    1    1    0    0    0    0    6 
 316    1    0    1    1    1    0    0    0    0    0    0    0    3 
 317    0    0    1    1    1    1    1    1    1    1    1    1   10 
 318    0    0    1    1    1    1    1    1    1    1    1    1   10 
 319    0    0    1    1    1    1    1    1    1    1    1    1   10 
 320    1    0    1    1    1    0    0    0    0    0    0    0    3 
 321    0    0    1    1    1    1    1    1    1    1    1    1   10 
 322    0    0    1    1    1    1    1    1    1    1    1    1   10 
 323    0    0    1    1    1    1    1    1    1    1    1    1   10 
 324    1    0    1    1    1    0    0    0    0    0    0    0    3 
 325    0    0    1    1    1    1    1    1    1    1    1    1   10 
 326    1    0    1    1    1    0    0    0    0    0    0    0    3 
 327    1    0    1    1    1    1    0    0    0    0    0    0    4 
 328    1    0    1    1    1    1    0    0    0    0    0    0    4 
 329    1    0    1    1    1    0    0    0    0    0    0    0    3 
 330    1    0    1    1    1    1    0    0    0    0    0    0    4 
 331    1    0    1    1    1    1    0    0    0    0    0    0    4 
 332    1    0    1    1    1    1    0    0    0    0    0    0    4 
 333    1    0    1    1    1    1    0    0    0    0    0    0    4 
 334    1    0    1    1    1    1    0    0    0    0    0    0    4 
 335    1    0    1    1    1    1    0    0    0    0    0    0    4 
 336    1    0    1    1    1    1    0    0    0    0    0    0    4 
 337    1    0    1    1    1    1    0    0    0    0    0    0    4 
 338    1    0    1    1    1    1    0    0    0    0    0    0    4 
 339    1    0    1    1    1    1    0    0    0    0    0    0    4 
 340    1    0    0    0    0    0    0    1    1    1    1    1    5 
 341    1    0    1    1    1    1    0    0    0    0    0    0    4 
 342    1    0    1    1    1    1    0    0    0    0    0    0    4 
 343    1    0    1    1    1    1    0    0    0    0    0    0    4 
 344    1    0    1    1    1    1    0    0    0    0    0    0    4 
 345    1    0    1    1    1    1    0    0    0    0    0    0    4 
 346    2    0    0    1    1    1    0    0    0    0    0    0    3 
 347    1    0    1    1    1    1    0    0    0    0    0    0    4 
 348    1    0    1    1    1    1    0    0    0    0    0    0    4 
 349    1    0    1    1    1    0    0    0    0    0    0    0    3 
 350    1    0    1    1    1    1    0    0    0    0    0    0    4 
 351    1    0    1    1    1    1    0    0    0    0    0    0    4 
   0    0    0  244  259  267  263  235  241  248  248  239  186 2430 

maxc(tints):   10 

Selected data (continuous or balanced dataset)

  cod  gap   e0   1    2    3    4    5    6    7    8    9   10  sti

   1    1    0    1    1    1    1    1    1    0    0    0    0    6 
   2    1    0    1    1    1    1    0    0    0    0    0    0    4 
   3    0    0    1    1    1    1    1    1    1    1    1    1   10 
   4    0    0    1    1    1    1    1    1    1    1    1    1   10 
   5    0    0    1    1    1    1    1    1    1    1    1    1   10 
   6    0    0    1    1    1    1    1    1    1    1    1    1   10 
   7    1    0    1    1    1    1    1    1    1    1    0    0    8 
   8    0    0    1    1    1    1    1    1    1    1    1    1   10 
   9    1    0    1    1    1    1    0    0    0    0    0    0    4 
  10    0    0    1    1    1    1    1    1    1    1    1    1   10 
  11    0    0    1    1    1    1    1    1    1    1    1    1   10 
  12    1    0    1    1    1    1    1    1    1    1    0    0    8 
  13    0    0    1    1    1    1    1    1    1    1    1    1   10 
  14    0    0    1    1    1    1    1    1    1    1    1    1   10 
  15    0    0    1    1    1    1    1    1    1    1    1    1   10 
  16    1    0    1    1    1    1    1    1    1    1    1    0    9 
  17    0    0    1    1    1    1    1    1    1    1    1    1   10 
  18    1    0    1    1    1    1    1    1    1    1    1    0    9 
  19    1    0    1    1    1    1    1    1    1    1    1    0    9 
  20    0    0    1    1    1    1    1    1    1    1    1    1   10 
  21    0    0    1    1    1    1    1    1    1    1    1    1   10 
  22    0    0    1    1    1    1    1    1    1    1    1    1   10 
  23    0    0    1    1    1    1    1    1    1    1    1    1   10 
  24    0    0    1    1    1    1    1    1    1    1    1    1   10 
  25    1    0    1    1    1    0    0    0    0    0    0    0    3 
  26    1    0    1    1    1    1    1    1    1    1    1    0    9 
  27    0    0    1    1    1    1    1    1    1    1    1    1   10 
  28    0    0    1    1    1    1    1    1    1    1    1    1   10 
  29    1    0    1    1    1    1    1    0    0    0    0    0    5 
  30    0    0    1    1    1    1    1    1    1    1    1    1   10 
  31    1    0    1    1    1    0    0    0    0    0    0    0    3 
  32    1    0    1    1    1    1    1    1    0    0    0    0    6 
  33    0    0    1    1    1    1    1    1    1    1    1    1   10 
  34    1    0    0    0    0    0    0    0    1    1    1    1    4 
  35    1    0    0    0    0    0    0    0    1    1    1    1    4 
  36    1    0    0    0    0    0    0    0    1    1    1    1    4 
  37    1    0    0    0    0    0    0    0    0    1    1    1    3 
  38    1    0    1    1    1    0    0    0    0    0    0    0    3 
  39    1    0    0    0    0    1    1    1    1    1    1    1    7 
  40    1    0    0    0    0    0    0    0    0    1    1    1    3 
  41    0    0    1    1    1    1    1    1    1    1    1    1   10 
  42    0    0    1    1    1    1    1    1    1    1    1    1   10 
  43    1    0    1    1    1    1    1    1    0    0    0    0    6 
  44    0    0    1    1    1    1    1    1    1    1    1    1   10 
  45    0    0    1    1    1    1    1    1    1    1    1    1   10 
  46    0    0    1    1    1    1    1    1    1    1    1    1   10 
  47    1    0    0    1    1    1    1    1    1    1    1    1    9 
  48    1    0    0    0    0    0    1    1    1    1    1    1    6 
